date,name,type,time,description
2027-01-01,Neujahrstag,Full day,,New Year’s Day; the first day of the year.
2027-03-25,Tag vor Karfreitag,Quarter day,afternoon,The day before Good Friday; typically an early closing / reduced working time.
2027-03-26,Karfreitag,Full day,,Good Friday; Christian holiday commemorating the crucifixion of Jesus.
2027-03-29,Ostermontag,Full day,,Easter Monday; Christian holiday on the day after Easter Sunday.
2027-04-19,Sechseläuten,Half day,afternoon,Zürich’s spring festival; afternoon off is traditionally granted for the parade and the burning of the “Böögg”.
2027-05-05,Tag vor Auffahrt,Quarter day,afternoon,The day before Ascension Day; typically an early closing / reduced working time.
2027-05-06,Auffahrtstag,Full day,,"Ascension Day; Christian holiday marking the Ascension of Jesus, 40 days after Easter."
2027-05-17,Pfingstmontag,Full day,,Pentecost Monday (Whit Monday); Christian holiday the day after Pentecost.
2027-09-13,Knabenschiessen,Half day,afternoon,Traditional Zürich festival (youth shooting competition); afternoon off is commonly granted in the city/canton.
2027-12-24,Heiligabend,Half day,afternoon,Christmas Eve; typically observed as an afternoon holiday with reduced working time.
2027-12-31,Silvester,Quarter day,afternoon,New Year’s Eve; typically an early closing / reduced working time.
